strongly concerning	Life is so meaningles to me right now. 
strongly concerning	Please no one should cry for me. I hope God forgives me. 
strongly concerning	I will never stop missing you until the end. 
strongly concerning	You win. You win in this greedy world. I hope your happy now. 
safe to ignore	I miss the old days and all those childhood memories. I became so ***.
strongly concerning	"I'm really sorry but I have to do this, always remember me guys. "
strongly concerning	Fuck everything. Fuck this world. Fuck all those bitches! We all gonna die in hell!
safe to ignore	"That's just, well... It's made me realize that holding back how we feel can leave others feeling alone when they are not."
strongly concerning	This is sickin disgusting. Now I don't know how to face other people. 
safe to ignore	Becky G was a !!!!!!!
strongly concerning	"I hope I will your smile Issa, for the last time. "
strongly concerning	"I'm done Lord, I don't want another day. i'm done!"
possibly concerning	Stress is tearing me up slowly. 
strongly concerning	Nothing lasts forever. 
safe to ignore	hello world
possibly concerning	I'm really scared right now. I could see shadows in my room but I don't know where to go. Help.
safe to ignore	So I was reading Trump's tweet and I suddenly fell off the stairs. 
safe to ignore	This day is so tiring. 
safe to ignore	When everything turns black the world becomes so sad.
strongly concerning	I have bought a blade and I'll attempt to cut my pulse right away.
strongly concerning	"Its all fun and games until you summon satan, then its a party. "
strongly concerning	I'll take pills and I'll kill my self. 
strongly concerning	My cousin commit suicide last year. I really think It's our inheritance. 
possibly concerning	I feel so useless. Sigh. 
strongly concerning	Goodbye everyone. My friends should not bother looking for me cause I'm gone. 
strongly concerning	I could sue all those brains. 
possibly concerning	I failed.
possibly concerning	I'd love to hear what you have to say but i wont be around.
strongly concerning	Friends are worrying about me committing suicide. 
safe to ignore	"Im fine, i call a suicide hotline. "
possibly concerning	No one needs to send death threats at me I'll willingly do it to myself. 
safe to ignore	I hope penguins fly. 
possibly concerning	" I'm leaving, i've just never been so happy and depressed at the same time"
possibly concerning	When will the justice be served. 
strongly concerning	Why am I still breathing?
possibly concerning	"It doesn’t seem to matter how much I try to fix myself, who I talk to or what I put in place. It always comes back to this."
strongly concerning	"Time to say goodbye now. Dont be sad be happy for me, my pain ends. Please remember me for the good things I did, not my mistakes sorry!"
safe to ignore	I post something on Facebook. 
strongly concerning	" more minutes guys, it'll end soon. "
strongly concerning	The good news is that assisted suicide in Colorado is legal so If Trump wins I'll go there and commit suicide. 
strongly concerning	Curt cobain didnt die to became some cute tshirt at urban outfitter or have his suicide note written on mugs.
possibly concerning	The fact that I hate this world. 
strongly concerning	They joke about suicide they never know i've tried. 
strongly concerning	I've reached my breaking point. hope you're all happy
possibly concerning	Don't judge others by their looks. Keep that in mind fellas. 
possibly concerning	 I really can't bear it anymore coz it's making me really depressed and because of  my mistake. People are planning to disgrace me
strongly concerning	 But im done with life bye.
safe to ignore	What is even my purpose?
possibly concerning	Racist people in the US needs to be put in jail. 
strongly concerning	I already found a knife.
possibly concerning	I feel so wasted and broke. Drake should play that fuckin song. 
strongly concerning	Were getting married but he choose to walk away. 
safe to ignore	There is somebody in my dreams.
possibly concerning	Bullshit those sickin fraud and all those dirty liars. 
strongly concerning	Always remember mom that I really love you. I'll watch you from above. 
strongly concerning	Respect and equality should be serve before I die. 
safe to ignore	This is so disgusting.
safe to ignore	English is too hard for me. 
safe to ignore	I love you dad.
possibly concerning	I badly need help. 
possibly concerning	Sorry i care...well cared
safe to ignore	"I am imperfect, I commit mistake and tend to hurt other people.  I know everybody is the same. "
strongly concerning	If I had fun I'd probably shoot myself is that bad?
possibly concerning	I really can't bear it anymore because it's making me really depressed and because of my mistake. people are planning to disgrace me
strongly concerning	I will attempt suicide today. I hope it'll work. 
strongly concerning	 minutes guys. I'll miss you so much don't forget me. 
strongly concerning	"Seriously, I wanna die. "
possibly concerning	 Trump has blocked me from reading his tweets. I may have to kill myself.
safe to ignore	So I have read abt this ancient history about death and my heart suddenly beat so fast.
possibly concerning	"I feel so broken, lost and worthless"
possibly concerning	" I think about blowing my brains out  ahandful times a week, i fear no one. "
strongly concerning	I was crying all night. I don't know what to do with my life. 
strongly concerning	Need someone to talk to.
safe to ignore	Cockroaches has a fuckin way of bullshiting my bullshit life. Haha. 
strongly concerning	I tried number of times on killing myself.
strongly concerning	Someone is in my dream and I can't sleep. Anxiety is killing me. 
strongly concerning	I hope I'll find my friends soul after I did this. Wishing that God will forgive me. 
strongly concerning	Before anybody finds out Im going to a hospital.
strongly concerning	My illness is getting worse and I think it'll be better If I will end all this suffering now. 
strongly concerning	"To my family, I wish that you'll always pray for my soul. "
strongly concerning	I dont deserve anything. I only deserve to die. 
possibly concerning	"Dreams dissapeared, there was no time to rest. "
strongly concerning	Depression is not a joke. I am experiencing it now *still thinking of ending my own life* 
strongly concerning	I really think I badly need a psychiatrist. I can't this anymore. 
safe to ignore	Tomorrow might be the same. But it might also be brighter
possibly concerning	This world is so miserable. 
safe to ignore	Each one of us has a bullshit characters.
strongly concerning	I hope someone come on my funeral. 
safe to ignore	For Pete's sake someone need to serve justice right now. 
strongly concerning	It's my first time to think of taking my own life. I'm sicking tired. 
possibly concerning	People don't need to act like they care. They don't even care about their own family. *smirk
safe to ignore	I saw Clinton today and I just want to screw everything up. 
strongly concerning	Someone drown me. 
safe to ignore	My Halloween customer looks creepy enough. 
strongly concerning	I love all of you. This day has been coming for a long timeI love my family so much. Im sorry.
possibly concerning	Bradley is sicking tired of all those bullshit characters. 
safe to ignore	Something embarassing has been happening to me for about 2 days now
safe to ignore	A glass of wine is enough. 
possibly concerning	It hurts badly. 
possibly concerning	Fuck for all those people who don't even know how to respect other. 
safe to ignore	Catching fish
safe to ignore	Celebrating our first year anniv right now but his not eve picking up my calls. What is the prob George? 
strongly concerning	No one will ever love me. 36/41 pills left. They're really hard to swallow because I'm still shaking and crying.
strongly concerning	Nobody cares even If I die tonight. 
safe to ignore	Being able to be the second place is enough. 
strongly concerning	"I swear when I end this life, I'm going to hunt all those who hurt my family. "
strongly concerning	Almost swallowed a live spider that hid in my water bottle that crawled inside my mouth so if you need me I'll be commuting suicide all day.
strongly concerning	If you dont hear me just know that I'm gone. Don't cry for me. 
possibly concerning	My stomach get really upset and throw up all the pills i took. 
strongly concerning	Collin leave me first and choose to die at a young age and its tearing me up. I want to follow him. I'm sorry everyone. 
strongly concerning	In my funeral play the Super Mario theme until my casket reach the ground. 
safe to ignore	That conversation escalated so quickly.
safe to ignore	Hoping that your happy now. 
strongly concerning	Anxiety. 
safe to ignore	What's this? The 6th or 7th try? Better work.
safe to ignore	I wonder why tears are salty? 
strongly concerning	The world is so unfair.  Everything is a waste. 
strongly concerning	" I finally found a whole bottle full of pills, im sorry"
strongly concerning	I became sadder and sadder each day. I can't take it anymore. 
safe to ignore	Please play Super Mario's original theme on my funeral. 
strongly concerning	" I'm commiting suicide tonight. Do not intervene, as i have many stories to tell and do not want them to die with me."
safe to ignore	God please forgive me.
strongly concerning	I wish dad's pesticide will work. 
strongly concerning	"I am on my way to take my own life, yes you win this battle. Goodbye world."
possibly concerning	This is all because of fucking replase.
safe to ignore	I really think someone is angry with me. 
safe to ignore	Its so sad. 
strongly concerning	Everything fuck up. Damn this ********. 
strongly concerning	7 minutes until #RIPbuterascandiess
strongly concerning	I've been struggling for many days now. I dont know if I could still handle this kind of situation.
safe to ignore	Can we cut the crap now once and for all. 
safe to ignore	Never seen my homies from highshool anymore and it makes me sad
strongly concerning	This is sicking bullshit.
possibly concerning	Still findng my purpose in life.
strongly concerning	I can't take this anymore. Sorry mom. 
strongly concerning	The pain is far too great. Goodbye world. 
possibly concerning	Why it has to be me? 
strongly concerning	"The walls gets thicker and thicker, depression is eating my whole system, I don't know what to do. I want to get out in dark but I can't. I'm so sorry. "
possibly concerning	My legs hurt. And my heart was filled with despair. 
safe to ignore	Bitches and beaches.
strongly concerning	Dad told me to live my life to the fullest but I don't know if I'm going to live this life any longer. 
possibly concerning	I saw the sign about death yesterday.
strongly concerning	Where to buy the sharpest knife in town? 
strongly concerning	I don't know who I am anymore. I don't know why I am still here? I don't know why people needs to forsake me. 
strongly concerning	I'll rather kill myself than commit suicide
safe to ignore	I love you mom.
strongly concerning	"By If i could find a gun, I'll just shoot my brain out and forget I ever existed. "
strongly concerning	People always look down on me. The disgrace is killing me. Why it needs to be me? 
safe to ignore	"Funny world, HAHA! What the fuck."
strongly concerning	I tried to get out from the dark and sadness but I can't. 
strongly concerning	Wish I wasn't born. 
possibly concerning	" If your depressed, why dont you kill your self already. "
possibly concerning	Kinda lonely right now. 
strongly concerning	This existence is a lie. 
strongly concerning	I cried every night. My mom and dad always fought. Why? 
strongly concerning	I dreamed that I'll take my own life. 
